label,Type,messages
spam,Pyramid,"1. ""Join our exclusive gifting circle! Gift $500 to help someone, then recruit 2 friends. You'll receive $2,000 back when it's your turn. Life-changing opportunity!""

2. ""Women's blessing circle invitation! Contribute $1,000 to the center, recruit 8 sisters, and receive $8,000 blessing. Sisterhood and financial freedom combined!""

3. ""Exclusive invitation: Digital gifting network! Send $200 gift, refer 4 people, earn $800 return. Limited spots available. Join our prosperity community today!"""
ham,,Is that what time you want me to come?
spam,Subscription_Scam,U are subscribed to the best Mobile Content Service in the UK for å£3 per ten days until you send STOP to 83435. Helpline 08706091795.
ham,,Went fast asleep dear.take care.
ham,,Y?WHERE U AT DOGBREATH? ITS JUST SOUNDING LIKE JAN C THATåÕS AL!!!!!!!!!
spam,Relationship and romance,"Based on the CAFC Relationship and Romance scam description, here are 15 scam text messages:

1. ""Hi beautiful, I'm David, an engineer working in Syria. Saw your profile and felt instant connection. You seem like my soulmate. Can we chat privately?""

2. ""My darling, I'm falling in love with you. I need $500 for emergency medical treatment here in Nigeria. Can you help me? I'll pay you back when I return to Canada.""

3. ""Sweetheart, I have great news! I've been making $5,000 weekly trading cryptocurrency. Let me teach you how to get rich too. Are you ready to change your life?""

4. ""My love, I'm stuck at Dubai airport. They won't let me board without paying $800 excess baggage fee. Please help me come home to you.""

5. ""Honey, I found an amazing crypto platform that doubled my money in 2 weeks. I'll guide you step by step. Start with $1,000 and watch it grow.""

6. ""My dear, my daughter needs urgent surgery and I'm short $1,200. I hate asking but you're the only one I trust. I'll repay you with interest.""

7. ""Baby, I've been trading on this exclusive crypto app. Made $15,000 last month! Let me show you how. Download the app I'll send you.""

8. ""My heart, please don't tell your family about us yet. They might not understand our love. This is our special secret until I can meet them properly.""

9. ""Darling, I need you to receive $3,000 in your account from my business partner. Keep $500 for yourself and transfer the rest to my associate.""

10. ""Love, I'm sending you a crypto wallet approval link. Click 'approve' to receive the $2,000 gift I'm sending you. It's completely safe.""

11. ""My angel, the crypto market is exploding! I turned $500 into $5,000 yesterday. Let me invest your savings too. We'll be rich together!""

12. ""Sweetheart, I'm detained at customs. They want $1,500 for my luggage inspection. I have gifts for you inside. Please wire the money urgently.""

13. ""My precious, I found a new crypto platform giving 50% returns daily. I've already made $8,000 this week. Should I invest for both of us?""

14. ""Honey, click this link to approve the crypto transfer I'm sending you. It's $1,000 as promised. Just click 'approve' when it asks.""

15. ""My love, I'm so angry that you're doubting me! After everything we've shared, you don't trust me? Fine, I'll find someone else who believes in our love."""
ham,,Have a good trip. Watch out for . Remember when you get back we must decide about easter.
spam,Prize_Lottery_Scam,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.
spam,Free_Service_Scam,FreeMsg>FAV XMAS TONES!Reply REAL
ham,,I love u 2 my little pocy bell I am sorry but I love u
spam,Free_Service_Scam,Sex up ur mobile with a FREE sexy pic of Jordan! Just text BABE to 88600. Then every wk get a sexy celeb! PocketBabe.co.uk 4 more pics. 16 å£3/wk 087016248
spam,Prize_Lottery_Scam,Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or å£250 cash every wk. Txt VPOD to 81303 Ts&Cs www.textpod.net custcare 08712405020.
spam,Prize_Lottery_Scam,"You have been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday Worth å£350! To Claim, Call London 02072069400. Bx 526, SW73SS"
ham,,The Xmas story is peace.. The Xmas msg is love.. The Xmas miracle is jesus.. Hav a blessed month ahead &amp; wish U Merry Xmas...
ham,,HI DARLIN I HOPE YOU HAD A NICE NIGHT I WISH I HAD COME CANT WAIT TO SEE YOU LOVE FRAN PS I WANT DIRTY ANAL SEX AND I WANT A 10 MAN GANG BANG
spam,Subscription_Scam,Email AlertFrom: Jeri StewartSize: 2KBSubject: Low-cost prescripiton drvgsTo listen to email call 123
ham,,No need lar i go engin? Cos my sis at arts today...
spam,Other_Spam,8007 25p 4 Alfie Moon's Children in Need song on ur mob. Tell ur m8s. Txt TONE CHARITY to 8007 for nokias or POLY CHARITY for polys :zed 08701417012 profit 2 charity
ham,,Thats cool! Sometimes slow and gentle. Sonetimes rough and hard :)
spam,Subscription_Scam,"FREE RING TONE just text \POLYS\"" to 87131. Then every week get a new tone. 0870737910216yrs only å£1.50/wk."""
spam,Timeshare resale,"Hello, we have a confirmed buyer for your timeshare listing. You must pay $299 maintenance + escrow fee to process the sale. Funds wired to our secure escrow account."
spam,Other_Spam,"New Tones This week include: 1)McFly-All Ab.., 2) Sara Jorge-Shock.. 3) Will Smith-Switch.. To order follow instructions on next message"
ham,,Its on in engalnd! But telly has decided it won't let me watch it and mia and elliot were kissing! Damn it!
ham,,LOOK AT THE FUCKIN TIME. WHAT THE FUCK YOU THINK IS UP
spam,Prize_Lottery_Scam,"You've won tkts to the EURO2004 CUP FINAL or å£800 CASH, to collect CALL 09058099801 b4190604, POBOX 7876150ppm"
spam,Mystery shopper,"1. ""Congratulations! You've been selected as a mystery shopper for Walmart Canada. $500 training cheque being mailed. Instructions to follow.""

2. ""Quality control officer position confirmed. Canadian Tire needs shoppers in your area. $750 advance payment sent via courier today.""

3. ""Client service strategist role approved. Loblaws requires product evaluation. $600 starting cheque enclosed with assignment details.""

4. ""Personal assistant position available. Metro needs store evaluations. $400 advance deposited. Check your mail for instructions.""

5. ""Mystery shopper assignment ready. Deposit the $800 cheque and transfer $650 to supplier account. Keep $150 as payment.""

6. ""Task update: Purchase $200 in gift cards from Shoppers Drug Mart. Send card numbers to verify they work properly.""

7. ""Assignment 2: Buy $300 iTunes gift cards. Scratch off codes and text photos to confirm activation. Survey follows.""

8. ""Next evaluation: Purchase $150 Visa gift cards. Provide card numbers and PIN codes to test payment system functionality.""

9. ""Customer service survey required. Rate your gift card purchase experience on scale 1-10. Submit within 24 hours.""

10. ""Final assignment: Complete detailed survey about store service quality. Your feedback helps improve customer experience nationwide."""
spam,Prize_Lottery_Scam,okmail: Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm
spam,Phone and fax scams,
ham,,Whats the staff name who is taking class for us?
spam,Prize_Lottery_Scam,FREE entry into our å£250 weekly comp just send the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk
spam,Free_Service_Scam,FREE UNLIMITED HARDCORE PORN direct 2 your mobile Txt PORN to 69200 & get FREE access for 24 hrs then chrgd@50p per day txt Stop 2exit. This msg is free
spam,Prize_Lottery_Scam,Ur HMV Quiz cash-balance is currently å£500 - to maximize ur cash-in now send HMV1 to 86688 only 150p/msg
ham,,How many times i told in the stage all use to laugh. You not listen aha.
ham,,"Yeah that's what I thought, lemme know if anything's goin on later"
ham,,Quite ok but a bit ex... U better go eat smth now else i'll feel guilty...
spam,Subscription_Scam,"To review and KEEP the fantastic Nokia N-Gage game deck with Club Nokia, go 2 www.cnupdates.com/newsletter. unsubscribe from alerts reply with the word OUT"
spam,Free_Service_Scam,"Loan for any purpose å£500 - å£75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'"
spam,Prize_Lottery_Scam,"This is the 2nd attempt to contract U, you have won this weeks top prize of either å£1000 cash or å£200 prize. Just call 09066361921"
ham,,Hi Princess! Thank you for the pics. You are very pretty. How are you?
ham,,Back in brum! Thanks for putting us up and keeping us all and happy. See you soon
spam,Recovery pitch,"Hi, we’re from the Anti-Fraud Center. We’ve recovered $1,274.34 you lost to scammers. To release the funds, a $75 clearance fee is required. Pay now via Interac e-Transfer to recover@refundmail.org"
ham,,Let me know when you've got the money so carlos can make the call
spam,Free_Service_Scam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv"
ham,,He needs to stop going to bed and make with the fucking dealing
ham,,I'm in chennai velachery:)
ham,,Bbq this sat at mine from 6ish. Ur welcome 2 come
ham,,No he didn't. Spring is coming early yay!
ham,,"&lt;#&gt; %of pple marry with their lovers... becz they hav gud undrstndng dat avoids problems. i sent dis 2 u, u wil get gud news on friday by d person you like. And tomorrow will be the best day of your life. Dont break this chain. If you break you will suffer. send this to  &lt;#&gt;  frnds in &lt;#&gt;  mins whn u read..."
ham,,Stupid.its not possible
ham,,:-( sad puppy noise
spam,Contact_Service_Scam,PRIVATE! Your 2003 Account Statement for 07808247860 shows 800 un-redeemed S. I. M. points. Call 08719899229 Identifier Code: 40411 Expires 06/11/04
ham,,Dear good morning how you feeling dear
ham,,"Hey chief, can you give me a bell when you get this. Need to talk to you about this royal visit on the 1st june."
ham,,cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & im still waitin 4 1. Pete x
spam,Prize_Lottery_Scam,"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08712101358 NOW! Only 10p per min. BT-national-rate"
spam,Subscription_Scam,1000's of girls many local 2 u who r virgins 2 this & r ready 2 4fil ur every sexual need. Can u 4fil theirs? text CUTE to 69911(å£1.50p. m)
spam,Prize_Lottery_Scam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!
spam,Subscription_Scam,SMS SERVICES For your inclusive text credits pls gotto www.comuk.net login 3qxj9 unsubscribe with STOP no extra charge help 08702840625 comuk.220cm2 9AE
spam,Contact_Service_Scam,Guess what! Somebody you know secretly fancies you! Wanna find out who it is? Give us a call on 09065394973 from Landline DATEBox1282EssexCM61XN 150p/min 18
spam,Subscription_Scam,"Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply"
spam,Subscription_Scam,Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min Gsex POBOX 2667 WC1N 3XX
ham,,Good morning. At the repair shop--the ONLY reason i'm up at this hour.
spam,Marketing_Link_Scam,A link to your picture has been sent. You can also use http://alto18.co.uk/wave/wave.asp?o=44345
spam,Subscription_Scam,we tried to contact you re your response to our offer of a new nokia fone and camcorder hit reply or call 08000930705 for delivery
ham,,"Beautiful Truth against Gravity.. Read carefully: \Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it..\"" GOODMORNING"""
spam,Prize_Lottery_Scam,Urgent! Please call 09061213237 from landline. å£5000 cash or a luxury 4* Canary Islands Holiday await collection. T&Cs SAE PO Box 177. M227XY. 150ppm. 16+
spam,Free_Service_Scam,Great NEW Offer - DOUBLE Mins & DOUBLE Txt on best Orange tariffs AND get latest camera phones 4 FREE! Call MobileUpd8 free on 08000839402 NOW! or 2stoptxt T&Cs
ham,,Ok Chinese food on its way. When I get fat you're paying for my lipo.
spam,Subscription_Scam,As a registered optin subscriber ur draw 4 å£100 gift voucher will be entered on receipt of a correct ans to 80062 Whats No1 in the BBC charts
spam,Subscription_Scam,"Thanks for your ringtone order, reference number X49.Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989182"
spam,Contact_Service_Scam,Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs
spam,Contact_Service_Scam,"You are being contacted by our dating service by someone you know! To find out who it is, call from a land line 09050000928. PoBox45W2TG150P"
ham,,"Sorry, went to bed early, nightnight"
spam,Free_Service_Scam,Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705.
spam,Free_Service_Scam,Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870
spam,Subscription_Scam,"Thanks for your ringtone order, reference number X49. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989182. From: [colour=red]text[/colour]TXTstar"
spam,Subscription_Scam,"Hottest pics straight to your phone!! See me getting Wet and Wanting, just for you xx Text PICS to 89555 now! txt costs 150p textoperator g696ga 18 XxX"
ham,,Yes. Nigh you cant aha.
ham,,"U wake up already? Wat u doing? U picking us up later rite? I'm taking sq825, reaching ard 7 smth 8 like dat. U can check e arrival time. C ya soon..."
ham,,"If you're still up, maybe leave the credit card so I can get gas when I get back like he told me to"
ham,,Yup. Thk of u oso boring wat.
ham,,"Bill, as in: Are there any letters for me. iÛªm expecting one from orange that isnÛªt a bill but may still say orange on it."
spam,Subscription_Scam,"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= ***** unsubscribe with STOP. no extra charge. help:08700469649. PO BOX420. IP4 5WE"
spam,Hydro,"1. ""BC Hydro: Your account is overdue $425. Power will be disconnected in 30 minutes unless payment is made. Pay immediately at 1-800-555-0199.""

2. ""Ontario Hydro: Service interruption scheduled for your address in 2 hours. Outstanding balance $312 must be paid via gift cards to avoid disconnection.""

3. ""Alberta Power: Final notice - $578 overdue. Your electricity will be shut off today. Pay now with Bitcoin or iTunes cards to prevent service termination."""
ham,,I accidentally brought em home in the box
spam,Prize_Lottery_Scam,Congratulations YOU'VE Won. You're a Winner in our August å£1000 Prize Draw. Call 09066660100 NOW. Prize Code 2309.
ham,,Ok going to sleep. Hope i can meet her.
spam,Subscription_Scam,Text PASS to 69669 to collect your polyphonic ringtones. Normal gprs charges apply only. Enjoy your tones
ham,,"Haha, that was the first person I was gonna ask"
ham,,Oh shut it. Omg yesterday I had a dream that I had 2 kids both boys. I was so pissed. Not only about the kids but them being boys. I even told mark in my dream that he was changing diapers cause I'm not getting owed in the face.
spam,Prize_Lottery_Scam,CDs 4u: Congratulations ur awarded å£500 of CD gift vouchers or å£125 gift guaranteed & Freeentry 2 å£100 wkly draw xt MUSIC to 87066 TnCs www.ldew.com1win150ppmx3age16
ham,,Daddy will take good care of you :)
ham,,Convey my regards to him
spam,Prize_Lottery_Scam,EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN å£100 Cash WKENT/150P16+
ham,,Is there any training tomorrow?
ham,,"Don't worry though, I understand how important it is that I be put in my place with a poorly thought out punishment in the face of the worst thing that has ever happened to me. Brb gonna go kill myself"
spam,Free_Service_Scam,Want a new Video Phone? 750 anytime any network mins? Half price line rental free text for 3 months? Reply or call 08000930705 for free delivery
ham,,Don know..he is watching film in computer..
ham,,Then we gotta do it after that
ham,,NEFT Transaction with reference number  &lt;#&gt;  for Rs. &lt;DECIMAL&gt;  has been credited to the beneficiary account on  &lt;#&gt;  at  &lt;TIME&gt; : &lt;#&gt;
spam,Contact_Service_Scam,Dear U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18 yrs
ham,,Dont think so. It turns off like randomlly within 5min of opening
spam,Prize_Lottery_Scam,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18"
spam,Free_Service_Scam,Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.
spam,Contact_Service_Scam,"Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07090298926 to re-schedule. Ref:9307622"
spam,Subscription_Scam,"LookAtMe!: Thanks for your purchase of a video clip from LookAtMe!, you've been charged 35p. Think you can do better? Why not send a video in a MMSto 32323."
spam,Contact_Service_Scam,Sorry I missed your call let's talk when you have the time. I'm on 07090201529
ham,,Go chase after her and run her over while she's crossing the street
spam,Free_Service_Scam,500 free text msgs. Just text ok to 80488 and we'll credit your account
spam,Marketing_Link_Scam,"Bored of speed dating? Try SPEEDCHAT, txt SPEEDCHAT to 80155, if you don't like em txt SWAP and get a new chatter! Chat80155 POBox36504W45WQ 150p/msg rcd 16"
spam,Prize_Lottery_Scam,"Shop till u Drop, IS IT YOU, either 10K, 5K, å£500 Cash or å£100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary"
spam,Franchise/business opportunity,"1. ""Exclusive ATM franchise opportunity! Place our machines in stores and earn $3,000+ monthly passive income. Only $15,000 startup cost. Limited spots available!""

2. ""Point of sale terminal business for sale! We install terminals, you collect fees. Guaranteed $2,500/month income. $12,000 investment gets you started today.""

3. ""Commercial cleaning franchise available! Established routes, guaranteed contracts. Earn $5,000+ monthly. Equipment package only $8,000. Don't miss out!"""
spam,Subscription_Scam,Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged
spam,Subscription_Scam,"Last Chance! Claim ur å£150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. å£3.00 Sub. 16"
ham,,Where are you ? What do you do ? How can you stand to be away from me ? Doesn't your heart ache without me ? Don't you wonder of me ? Don't you crave me ?
ham,,"Babe ! How goes that day ? What are you doing ? Where are you ? I sip my cappuccino and think of you, my love ... I send a kiss to you from across the sea"
spam,Prize_Lottery_Scam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!
ham,,I want to tell you how bad I feel that basically the only times I text you lately are when I need drugs
ham,,"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?"
spam,Subscription_Scam,"Thanks for your Ringtone Order, Reference T91. You will be charged GBP 4 per week. You can unsubscribe at anytime by calling customer services on 09057039994"
ham,,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..
spam,Contact_Service_Scam,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594
ham,,You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.
spam,Prize_Lottery_Scam,"URGENT! Your mobile No 077xxx WON a å£2,000 Bonus Caller Prize on 02/06/03! This is the 2nd attempt to reach YOU! Call 09066362206 ASAP! BOX97N7QP, 150ppm"
ham,,"Wishing you and your family Merry \X\"" mas and HAPPY NEW Year in advance.."""
spam,Prize_Lottery_Scam,"Urgent -call 09066649731from Landline. Your complimentary 4* Ibiza Holiday or å£10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150ppm 18+"
spam,Free_Service_Scam,network operator. The service is free. For T & C's visit 80488.biz
spam,Subscription_Scam,"Want to funk up ur fone with a weekly new tone reply TONES2U 2 this text. www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply"
ham,,alright tyler's got a minor crisis and has to be home sooner than he thought so be here asap
spam,Contact_Service_Scam,<Forwarded from 21870000>Hi - this is your Mailbox Messaging SMS alert. You have 40 matches. Please call back on 09056242159 to retrieve your messages and matches cc100p/min
spam,Prize_Lottery_Scam,+123 Congratulations - in this week's competition draw u have won the å£1450 prize to claim just call 09050002311 b4280703. T&Cs/stop SMS 08718727868. Over 18 only 150ppm
spam,Vacation,"CONGRATS! You’ve won an all-inclusive trip to Mexico with Air Canada. To book, just pay your $79 refundable deposit today. Limited spots! Call 1-866-TRAVEL-NOW"
ham,,The evo. I just had to download flash. Jealous?
spam,Subscription_Scam,Am new 2 club & dont fink we met yet Will B gr8 2 C U Please leave msg 2day wiv ur area 09099726553 reply promised CARLIE x Callså£1/minMobsmore LKPOBOX177HP51FL
spam,Subscription_Scam,Boltblue tones for 150p Reply POLY# or MONO# eg POLY3 1. Cha Cha Slide 2. Yeah 3. Slow Jamz 6. Toxic 8. Come With Me or STOP 4 more tones txt MORE
spam,Marketing_Link_Scam,"Text82228>> Get more ringtones, logos and games from www.txt82228.com. Questions: info@txt82228.co.uk"
ham,,Hi. Hope you had a good day. Have a better night.
ham,,They have a thread on the wishlist section of the forums where ppl post nitro requests. Start from the last page and collect from the bottom up.
spam,Prize_Lottery_Scam,"This is the 2nd time we have tried to contact u. U have won the å£400 prize. 2 claim is easy, just call 087104711148 NOW! Only 10p per minute. BT-national-rate"
ham,,"Hi, can i please get a  &lt;#&gt;  dollar loan from you. I.ll pay you back by mid february. Pls."
ham,,Rightio. 11.48 it is then. Well arent we all up bright and early this morning.
ham,,Oh wow thats gay. Will firmware update help
ham,,I am on the way to tirupur.
ham,,The fact that you're cleaning shows you know why i'm upset. Your priority is constantly \what i want to do
ham,,Haf u found him? I feel so stupid da v cam was working.
spam,Free_Service_Scam,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!
spam,Free_Service_Scam,"Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9996. Offer ends 14thMarch. T&C's apply. Opt-out availa"
ham,,You know what hook up means right?
ham,,Thanks honey. Have a great day.
ham,,"I got another job! The one at the hospital doing data analysis or something, starts on monday! Not sure when my thesis will got finished"
spam,Prize_Lottery_Scam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/meg. CC: 08718720201 HG/Suite342/2lands Row/W1j6HL
ham,,Went to ganesh dress shop
spam,Subscription_Scam,You are now unsubscribed all services. Get tons of sexy babes or hunks straight to your phone! go to http://gotbabes.co.uk. No subscriptions.
ham,,"Sure, if I get an acknowledgement from you that it's astoundingly tactless and generally faggy to demand a blood oath fo"
spam,Prize_Lottery_Scam,This is the 2nd time we have tried to contact u. U have won the å£1450 prize to claim just call 09053750005 b4 310303. T&Cs/stop SMS 08718725756. 140ppm
ham,,So li hai... Me bored now da lecturer repeating last weeks stuff waste time...
ham,,Okie.. Thanx..
spam,Prize_Lottery_Scam,"For ur chance to win å£250 cash every wk TXT: PLAY to 83370. T's&C's www.music-trivia.net custcare 08715705022, 1x150p/wk."
spam,Contact_Service_Scam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08715203685 Identifier Code:4xx26 Expires 13/10/04
ham,,"I'm used to it. I just hope my agents don't drop me since i've only booked a few things this year. This whole me in boston, them in nyc was an experiment."
ham,,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.
ham,,I lost 4 pounds since my doc visit last week woot woot! Now I'm gonna celebrate by stuffing my face!
ham,,Is ur paper in e morn or aft tmr?
spam,Prize_Lottery_Scam,FreeMsg: Fancy a flirt? Reply DATE now & join the UKs fastest growing mobile dating service. Msgs rcvd just 25p to optout txt stop to 83021. Reply DATE now!
ham,,I am late. I will be there at
spam,Free_Service_Scam,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+
spam,Prize_Lottery_Scam,U have won a nokia 6230 plus a free digital camera. This is what u get when u win our FREE auction. To take part send NOKIA to 83383 now. POBOX114/14TCR/W1 16
spam,Contact_Service_Scam,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k"
ham,,"you are sweet as well, princess. Please tell me your likes and dislikes in bed..."
ham,,Is that seriously how you spell his name?
ham,,R u saying i should re order the slippers cos i had to pay for returning it.
ham,,Except theres a chick with huge boobs.
ham,,I.ll give her once i have it. Plus she said grinule greet you whenever we speak
spam,Prize_Lottery_Scam,"Claim a 200 shopping spree, just call 08717895698 now! Have you won! MobStoreQuiz10ppm"
